id,name,benefit_url,stock_price
2211,不二家,https://www.fujiya-peko.co.jp/company/ir/stock/stockholder.html,2428.0
2212,山崎製パン,http://www.yamazakipan.co.jp/ir/stock/stockholder/index.html,1736.0
2215,第一屋製パン,http://www.daiichipan.co.jp/,999.0
2216,カンロ,https://www.kanro.co.jp/ir/stock/benefit/,1589.0
2217,モロゾフ,http://www.morozoff.co.jp/company_ir/special/index.html,5980.0
2220,亀田製菓,https://www.kamedaseika.co.jp/cs/?p=company.ir.irBenefit,4830.0
2221,岩塚製菓,https://www.iwatsukaseika.co.jp/company/stockholder/treatment.shtml,4015.0
2222,寿スピリッツ,https://www.kotobukispirits.co.jp/ir/person/share.html,4875.0
2224,コモ,https://www.comoshop.jp/company/ir/stockholder.html,2541.0
2226,湖池屋,https://koike-ya.com/ir/stockholder.html,5150.0
2264,森永乳業,https://www.morinagamilk.co.jp/ir/stock/benefit.html,4930.0
2266,六甲バター,http://www.qbb.co.jp/ir/stockholder.html,1883.0
2267,ヤクルト本社,https://www.yakult.co.jp/company/ir/stock/stockholder.html,5180.0
2268,Ｂ−Ｒ　サーティワン　アイスクリーム,https://www.31ice.co.jp/contents/company/ir/index.html,3995.0
2269,明治ホールディングス,https://www.meiji.com/investor/stock_info/benefit/,7190.0
2281,プリマハム,https://www.primaham.co.jp/ir/kabunushi-yutai.html,3105.0
2282,日本ハム,https://www.nipponham.co.jp/ir/stock_info/yutai/,4540.0
2288,丸大食品,http://www.marudai.jp/corporate/ir/preferential.html,1696.0
2291,福留ハム,http://www.fukutome.com/money/yutai.html,1886.0
2292,Ｓ　Ｆｏｏｄｓ,http://www.sfoods.co.jp/ir06.html,3295.0
2293,滝沢ハム,http://takizawaham.co.jp/corporate/ir-stock/ir-kabunushi,-1.0
2294,柿安本店,https://www.kakiyasuhonten.co.jp/ir/stock/holder.php,2545.0
2296,伊藤ハム米久ホールディングス,https://www.itoham-yonekyu-holdings.com/ir/benefit.html,679.0
2300,きょくとう,https://k-cleaning.jp/,516.0
2301,学情,https://company.gakujo.ne.jp/,1326.0
2305,スタジオアリス,http://studio-alice.irbridge.com/ja/Stock/Benefit.html,1974.0
2307,クロスキャット,http://www.xcat.co.jp/ir-info/stock/,1140.0
2309,シミックホールディングス,https://www.cmicgroup.com/ir/shareholder-benefit,1320.0
2327,日鉄ソリューションズ,https://www.nssol.nipponsteel.com/ir/individual/merit/#perks,2944.0
2330,フォーサイド,http://www.forside.co.jp/,77.0
2335,キューブシステム,https://www.cubesystem.co.jp/ir/personal_index/yutai/,1238.0
2337,いちご,https://www.ichigo-jleague.jp/,301.0
2340,極楽湯ホールディングス,https://www.gokurakuyu-holdings.co.jp/ir/shareholders.html,301.0
2344,平安レイサービス,http://www.heian-group.co.jp/ir/qa/,867.0
2345,クシム,https://www.kushim.co.jp/ir/ir-pt,533.0
2351,ＡＳＪ,https://www.asj.ad.jp/,780.0
